Date,Current Prices: All,"Current Prices: Agriculture, Forestry, Animal Husbandry and Fishery",Current Prices: Industry,Current Prices: Industry: Manufacturing,Current Prices: Construction,Current Prices: Wholesale and Retail Trade,"Current Prices: Transport, Storage and Post",Current Prices: Hotel and Catering Services,Current Prices: Finance,Current Prices: Real Estate,"Current Prices: Information Transmission, Software and Information Technology",Current Prices: Leasing and Commercial Services,Current Prices: Other Sectors
2019/12/31,A,D,S,D,D,S,A,S,S,A,A,D,D
2020/3/31,D,S,D,D,S,S,D,D,S,D,D,D,D
2020/6/30,S,S,A,S,D,S,A,A,D,D,D,D,A
2020/9/30,S,S,D,D,D,S,A,A,D,D,S,S,D
2020/12/31,S,S,S,S,D,A,A,A,S,D,S,D,D
2021/3/31,D,S,S,S,D,A,S,A,S,D,S,S,A
2021/6/30,D,S,S,S,D,D,S,D,D,D,S,D,D
2021/9/30,D,S,S,S,S,D,S,D,D,D,D,D,S
2021/12/31,D,S,D,D,D,D,S,S,S,D,D,D,D
2022/3/31,D,D,S,S,D,D,D,S,S,D,D,D,D
2022/6/30,S,S,D,D,S,D,S,S,S,D,S,D,D
2022/9/30,S,D,S,S,D,S,D,S,S,D,D,D,D
2022/12/31,D,S,D,D,S,D,D,D,D,D,S,S,D
2023/3/31,D,S,S,S,D,S,D,D,D,D,D,D,A
2023/6/30,D,S,S,S,S,S,S,D,A,A,D,D,D
2023/9/30,D,S,D,D,A,S,D,D,D,D,S,D,D
2023/12/31,D,S,D,D,S,S,S,S,D,S,D,D,D
2024/3/31,D,S,S,S,S,A,D,D,A,D,D,D,D
2024/6/30,D,S,S,S,S,S,S,D,D,D,S,A,S
2024/9/30,D,D,S,S,S,S,D,S,D,D,D,D,D
2024/12/31,S,S,S,A,S,S,D,D,S,D,S,D,S
2025/3/31,S,S,S,S,D,D,D,S,S,D,S,D,D
